id,title,notes,organization,formats,tags,wfs_url,download_url,has_wfs,license,metadata_modified,predicted_relevant,relevance_score
mapplace-2,MapPlace 2,"MapPlace 2 serves the diverse needs of the mineral exploration industry, resource planners, public safety agencies, communities, First Nations, government, research organizations, and the general public. It builds on the success of the original MapPlace, which was created in 1995 and has a proven record of helping decision makers reduce the costs of accessing and analyzing geoscience data in British Columbia. 

The revamped MapPlace 2 is easier to use and has much improved functionality and pe",BC Geological Survey,OTHER,"MapPlace, MapPlace 2, assessment reports, bedrock geology, geochemistry, geophysics, geoscience data, geospatial, ice-flow indicators, mineral tenure, surficial geology, till geochemistry, web map, web service",,,False,Access Only,2023-08-29T22:02:43.966932,1,0.65
generalized-forest-cover-ownership,Generalized Forest Cover Ownership,"The Generalized Forest Cover Ownership (i.e F_OWN) dataset spatially identifies the primary ownership of forest lands across the province.  The product is intended to support timber supply review (TSR) analysis and other high level resource management planning. The layer SHOULD NOT be used for operational level analysis.

[Click here](https://www.for.gov.bc.ca/ftp/HTS/external/!publish/DataCatalogue_FAIB_Data/forest_cover_ownership/Generalized_Forest_Cover_Ownership_Layer.pdf) for code list.

",Forest Analysis and Inventory Branch,"KML, PDF, WMS, MULTIPLE","forest cover, ownership, veg, vegetation cover",,,False,Access Only,2025-05-11T12:44:26.180360,1,0.65
tantalis-surveyed-right-of-way-parcels,TANTALIS - Surveyed Right-of-way Parcels,"TA_SURVEYED_ROW_PARCELS_SVW contains the spatial representation (polygon) of all parcels of land surveyed for statutory access or Right-of-Way purposes, with active surveys, that are or have been within the purview of the B.C. Crown Land Management program. The view was created to provide a simplified view of this data from the survey parcel information in the Tantalis operational system",Lands Branch,"KML, WMS, MULTIPLE","CLRS, Canada, Crown Land, Crown Land Registry, Crown Tenure, tantalis",,,False,Open Government Licence - British Columbia,2026-03-22T12:46:36.015311,1,0.65
assessment-report-index-system-aris-database,Assessment Report Index System (ARIS) Database,"The British Columbia Geological Survey (BCGS) manages and maintains a library of over 39,600 mineral Assessment Reports. These reports have been filed by the exploration and mining industry since 1947 and describe exploration work costing over 2.8 billion dollars.  The reports contain information on geology, geophysics, geochemistry, drilling, prospecting and physical work.  After a one-year confidentiality period, this information is available for planning mineral exploration investment, resear",BC Geological Survey,"KML, WMS, MULTIPLE","ARIS, assessment reports, digital data, exploration results, geology, index system, mineral deposits, mineral exploration, mineral occurrences, owner and operator, work done",,,False,Access Only,2026-03-21T12:43:35.144886,1,0.645
terrestrial-ecosystem-information-tei-data-distribution-packages,Terrestrial Ecosystem Information (TEI) Data Distribution Packages,"The TEI Data Distribution packages in this folder contain of the full Terrestrial Ecosystem Information (TEI) dataset split into Predictive Ecosystem Mapping (PEM) data and non-PEM data which includes Terrestrial Ecosystem Mapping (TEM), Terrain Mapping (TER), Bioterrain Mapping  (TBT) Terrain Stability Mapping (TSM), Sensitive Ecosystems Inventory (SEI), Soil Mapping (SOIL project boundaries only), and Wildlife Habitat Ratings (WHR project boundaries only) by Natural Resource Sector Region (see",Knowledge Management,OTHER,"British Columbia, Canada, biogeoclimatic, bioterrain, ecology, ecosystem, habitat",,,False,Open Government Licence - British Columbia,2024-10-10T16:48:42.383908,1,0.645
fwcp-columbia-basin-dam-units,FWCP Columbia Basin Dam Units,Units dividing the Columbia Basin in to BC Hydro reservoir-based watersheds,Fish and Wildlife Compensation Program,MULTIPLE,"BC Hydro, Boundaries, Canada, Columbia, Columbia Basin, East Kootenay, FWCP, Fish and Wildlife Compensation Program, Kootenays, North Columbia, Rocky Mountains, Southeast BC, West Kootenay, conservation, dam impact, dam unit, watershed, wildlife",,,False,Open Government Licence - British Columbia,2021-12-10T22:35:24.377161,1,0.645
geology-quaternary-alluvium-and-cover,Geology Quaternary Alluvium and Cover,"Quaternary Alluvium and Cover is a data set that is represented as a cover layer on the maps of MapPlace. It is part of the British Columbia Digital Geology, which is the data source used for the seamless province-wide, up-to-date, and detailed bedrock geology. The bedrock geology integrates all details of compilations from 1:50,000 to 1:250,000. The data is maintained by a geospatial frame data model with techniques used to simplify the integration process and shorten the time frame from field ",BC Geological Survey,"KML, SHP, WMS, MULTIPLE","alluvium, bedrock geology, digital geology, geology, quaternary",,https://catalogue.data.gov.bc.ca/dataset/b3f58ed8-376f-4962-9657-36297a5f41cf/resource/9a40d16e-72e5-4ade-9985-ebd10eeab2ae/download/geologyquaternary2018.zip,False,Access Only,2023-06-29T14:18:34.157270,1,0.64
terrestrial-ecosystem-mapping-tem-detailed-polygons-with-short-attribute-table-spatial-view,Terrestrial Ecosystem Mapping (TEM) Detailed Polygons with Short Attribute Table Spatial View,"STE_TEM_ATTRIBUTE_POLYS_SVW contains Terrestrial Ecosystem Mapping (TEM) polygons with key and amalgamated (concatenated) attributes derived from the RISC (Resource Inventory Standards Committee) standard attributes. TEM divides the landscape into units according to a variety of ecological features including climate, physiography, surficial material, bedrock geology, soils and vegetation. TEM methods include manual air photo interpretation supported by selective field checking. This layer is der",Knowledge Management,"FGDB, XLSX, KML, WMS, MULTIPLE","BGC, Canada, DTEIF, Drainage, PEM, SEI, STE, STEWI, TEIS, TEM, TER, TSM, WHR, biogeoclimatic, bioterrain, bioterrain mapping, describing terrestrial ecosystems, ecology, ecosystem, ecosystem mapping, ecosystem modelling, erosion, landslide, predictive ecosystem mapping, sedimentation, sensitive ecosystem, sensitive ecosystems inventory, slope stability, soil, terrain, terrain and ecosystems, terrain mapping, terrain stability, terrain stability mapping, terrestrial ecosystem mapping, wildlife habitat rating, wildlife inventory",,,False,Open Government Licence - British Columbia,2024-10-07T18:38:34.396745,1,0.64
fossil-collection-events,Fossil Collection Events,"This spatial view contains information about known fossil collection events in British Columbia. Both macrofossils and microfossils are included. This is a point feature dataset that includes fossil collection event details such as a location descriptor, samples collected, significance ranking code, and related publications. The dataset is an inventory of known fossil collection locations from government survey and mapping work, paleontology research, industrial activities, and reports by recrea",Heritage Branch,MULTIPLE,"fossil, fossil location, fossil occurrence, fossil resource, fossil sites, geologic age, geologic time, paleontology, records, stratigraphy",,,False,Access Only,2026-03-21T12:43:45.386879,1,0.64
automated-snow-weather-station-locations,Automated Snow Weather Station Locations,"Locations of automated snow weather stations, active and inactive. Automated snow weather stations are components of the BC snow survey network.  ",Environmental Monitoring and Analysis Branch,"KML, WMS, MULTIPLE","automated snow pillows, automated snow weather stations, climate related monitoring, cryosphere, hydrology, snow, snow survey",,,False,Open Government Licence - British Columbia,2026-03-21T12:41:42.026112,1,0.64
bc-river-lake-and-wetland-polygons-1-2-000-000-digital-baseline-mapping,"BC River, Lake and Wetland Polygons 1:2,000,000  (Digital Baseline Mapping)","Layer containing double line rivers, lakes, reservoirs, swamps, marshes.",GeoBC Branch,"KML, WMS, MULTIPLE","Canada, Drainage, Hydrology, basemap, topographic map",,,False,Open Government Licence - Canada,2023-06-29T14:20:55.512670,1,0.64
tantalis-integrated-survey-areas,TANTALIS - Integrated Survey Areas,An Integrated Survey Area is an administrative area within which a British Columbia Land Surveyor is required to integrate cadastral surveys with a network of control monuments under the Integrated Survey Area. Tantalis is an information system designed specifically for the needs of the complex workings of Crown Land Registry and to provide automated support for all aspects of Crown land administration. It was designed to provide a foundation for integrating spatial data associated with mapping ,Lands Branch,"KML, WMS, MULTIPLE","CLRS, Canada, Crown Land Registry, Crown Lands, tantalis",,,False,Open Government Licence - British Columbia,2026-03-22T12:46:14.565055,1,0.64
ogc-pool-contours-public-version,Oil and Gas Pool Contours (Public Version),Oil and gas pool contours indicate the net pay thickness of the pool within a geologic formation in meters. Contours are created by the Energy Regulator geologists who build the contours using subsurface data such as geophysical logs and core analysis. Net pay contours can be used to calculate volumetric estimates of the reserve,British Columbia Energy Regulator,"KML, WMS, MULTIPLE","BC, BC Energy Regulator, BCER, Energy Regulator, Northeast, OGC, Oil and Gas Commission, contours, oil and gas, pool, pool contours",,,False,Access Only,2026-03-21T12:43:19.442043,1,0.64
tantalis-temporary-transportation,TANTALIS - Temporary Transportation,"A temporary layer containing CLRS surveyed highways, railways and road parcels in the old CDMS format. Transportation layer from which layers such as transportation corridors are extracted.Tantalis is an information system designed specifically for the needs of the complex workings of Crown Land Registry and to provide automated support for all aspects of Crown land administration. It was designed to provide a foundation for integrating spatial data associated with mapping of survey plans and ad",Lands Branch,MULTIPLE,"CLRS, Canada, Crown Land Registry, Crown Lands, tantalis",,,False,Access Only,2026-03-21T12:42:31.660444,1,0.635
broad-ecosystem-inventory-wildlife-habitat-ratings-interpretations-for-mammals,Broad Ecosystem Inventory Wildlife Habitat Ratings Interpretations for Mammals,"The Broad Ecosystem Inventory (BEI) Classification provides broad regional information about the distribution of ecosystems throughout the province and the value of these ecosystems to wildlife. This work is done in order to facilitate the use of wildlife information in broad provincial and regional land and resource planning initiatives. Broad Ecosystem Units are mapped based on imagery of the provincial land base generally captured at a scale of 1:250,000. BEI mapping represents forest conditi",Ecosystems,"ORACLE_SDE, PDF","BEI, Broad Ecosystem Inventory, Ecosystem Classification, Ecosystem Mapping, WHR, Wildlife Habitat Ratings, badger, bison, bobcat, caribou, deer, elk, furbearer, habitat capability, habitat modelling, habitat suitability, lynx, moose, ungulates",,,False,Open Government Licence - British Columbia,2024-02-08T23:20:48.996148,1,0.635
results-forest-cover-reserve,RESULTS - Forest Cover Reserve,"Spatial representation of a reserve of retention area associated with a silvicultural system. Reserves are forest patches or individual trees retained during harvesting, or other forestry operations to provide habitat, scenic, biodiversity, and other values. The reserve types included are Riparian, Wildlife Tree Patches, and Other. This is part of the Silviculture and Land status Tracking dataset, which includes all business processes required to receive and process records from forest licensees","Forest Science, Planning and Practices Branch","KML, WMS, MULTIPLE","Canada, forest cover, reforestation, reserve, riparian, wildlife tree retention",,,False,Open Government Licence - British Columbia,2026-03-21T12:40:05.924999,1,0.635
assessment-report-sourced-surface-sediment-geochemical-sample-arssg-database,Assessment Report-Sourced Surface Sediment Geochemical Sample (ARSSG) database,"This database contains assessment report-source surface sediment geochemical (ARSSG) data (e.g. soil, silt, stream sediment, and till) mainly from the Interior Plateau, and includes location coordinates, sampling parameters and notes, laboratory information, sample preparation methods, and analytical methods. Containing information from about 120 assessment reports, the database includes results from more than 34,000 samples, with 1,446,000 determinations from 13 laboratories. The data are provi",BC Geological Survey,"ZIP, OTHER","ARIS, assessment reports, digitization, gechemical data, mineral assessment reports, sediment geochemistry, soil samples, till samples",,,False,Access Only,2023-08-29T22:02:22.628695,1,0.635
regional-flood-frequency-analysis-station,Regional Flood Frequency Analysis Station,This layer represents Water Survey of Canada (WSC) and United States Geological Survey (USGS) gauge stations that meet the following criteria for inclusion: at least 10 years or data (with 350 or more days of observations) above the low outlier threshold; less than 20% (by basin drainage area) regulation; a corresponding basin polygon dataset (either supplied or delineated) with a area <15% different than the basin area reported by WSC or USGS; full metadata coverage for the basin (e.g. mean ann,Water Management,"CSV, OTHER","ArcGIS Online, Flood, Frequency, Hydrometric, Regional, Streamflow",,,False,Open Government Licence - British Columbia,2025-07-30T21:05:03.605735,1,0.635
7-5m-national-parks-the-atlas-of-canada-base-maps,(7.5M) National Parks - The Atlas of Canada Base Maps,This spatial layer details polygon features that represent National Parks,GeoBC Branch,MULTIPLE,"Alberta, Canada, HYDROLOGY, LAND USE, Manitoba, New Brunswick, Newfoundland And Labrador, North America, Northern Hemisphere, Northwest Territories, Nova Scotia, Nunavut, Ontario, Prince Edward Island, Quebec, Saskatchewan, TRANSPORTATION, boundaries, hydrography, land mass, national parks, planimetry, territorial",,,False,Open Government Licence - Canada,2021-12-10T22:36:24.235817,1,0.635
regional-flood-frequency-analysis-watershed,Regional Flood Frequency Analysis Watershed,This layer represents the watershed areas that report to Water Survey of Canada (WSC) and United States Geological Survey (USGS) gauge stations that meet the following criteria for inclusion: at least 10 years or data (with 350 or more days of observations) above the low outlier threshold; less than 20% (by basin drainage area) regulation; a corresponding basin polygon dataset (either supplied or delineated) with a area <15% different than the basin area reported by WSC or USGS; full metadata co,Water Management,"ZIP, OTHER","ArcGIS Online, Flood, Frequency, Hydrometric, Regional, Streamflow",,,False,Open Government Licence - British Columbia,2025-07-30T21:04:34.586916,1,0.63
resource-exploration-potential,Resource Exploration Potential,Areas outlining prospective resource exploration areas in the Queen Charlotte Basin.,BC Geological Survey,OTHER,"BC Energy Regulator, BCER, Energy Regulator, OGC, Oil and Gas Commission, exploratory, gas, offshore, oil, oil and gas, well",,,False,Access Only,2023-03-31T21:45:43.159554,1,0.63
cciss-western-north-america-bec-tables,CCISS Western North America BEC Tables,"These data tables describe biogeoclimatic units for Western North America. These data were assembled as inputs to the Climate Change Informed Species Selection (CCISS) framework.  

The CCISS framework is built on Biogeoclimatic Ecosystem Classification (BEC). CCISS uses spatial climatic analogs (BEC subzone/variants) to make inferences about future tree species suitability, known as biogeoclimatic projections. Creating species suitability projections for the future climates of British Columbia ",Forest Carbon and Climate Services Branch,"PDF, CSV","Forestry, Future Forest Ecosystems Centre, climate change, climate change adaptation, environmental suitability, ffec, tree species",,,False,Open Government Licence - British Columbia,2025-06-05T20:57:10.352595,1,0.63
borehole-log-lithology,Borehole Log Lithology,"Contains data on lithology, hydraulic conductivity and water levels, taken from borehole logs.

This layer is a point feature.",Authorizations and Remediation,MULTIPLE,"aquifer, aquitard, borehole, cleanup, contaminated, groundwater, groundwater level, hydraulic information, logs, soil description",,,False,Access Only,2026-01-19T23:14:04.366876,1,0.63
terrain-mapping-ter-polygon-attributes,Terrain Mapping (TER) Polygon Attributes,"STE_TER_ATTRIBUTE_POLYS_SVW contains Terrain Mapping (TER) polygons with key and amalgamated (concatenated) attributes derived from the RISC (Resource Inventory Standards Committee) standard attributes. Mapping criteria vary considerably between the terrain inventory, bioterrain and terrain stability mapping projects contained in this layer. TER divides the landscape into units according to surficial materials, landforms and geomorphological processes using the Terrain Classification System for ",Knowledge Management,"XLSX, FGDB, MULTIPLE","BGC, Canada, DTEIF, Drainage, PEM, SEI, STE, STEWI, TEIS, TEM, TER, TSM, WHR, biogeoclimatic, bioterrain, bioterrain mapping, describing terrestrial ecosystems, ecology, ecosystem, ecosystem mapping, ecosystem modelling, erosion, landslide, predictive ecosystem mapping, sedimentation, sensitive ecosystem, sensitive ecosystems inventory, slope stability, soil, terrain, terrain and ecosystems, terrain mapping, terrain stability, terrain stability mapping, terrestrial ecosystem mapping, wildlife habitat rating, wildlife inventory",,,False,Open Government Licence - British Columbia,2024-10-07T18:43:19.161957,1,0.63
property-file-search,Property File Search,"Property File is a collection of over 73,900 documents associated with mineral occurrences, donated by industry or individuals, or collected by British Columbia Geological Survey (BCGS) staff. These documents extend back over 150 years and include unpublished reports, theses, papers, field notes, company prospectuses, correspondence, hand-drawn maps, geology, geochemistry, geophysics, drilling data, claim maps, mine plans and photographs. The Property File Document Search application includes se",BC Geological Survey,OTHER,"drill core records, hand drawn maps, mine plans, mineral, mineral exploration, mining, photos, property file",,,False,Access Only,2023-08-29T21:51:41.348940,1,0.63
tantalis-crown-land-leases,TANTALIS - Crown Land Leases,"TA_CROWN_LEASES_SVW - A Crown Land Lease is a type of land tenure issued under the Land Act. A Land Act Lease is issued where long term tenure is required, where substantial improvements are proposed, and/or where definite boundaries are required in order to avoid land use and property conflicts. The tenure holder is granted the exclusive use and enjoyment of the area. The tenure holder also has the right to exclude or charge the public for use of the land and/or improvements, when this is consi",Lands Branch,"KML, WMS, MULTIPLE","CLRS, Canada, Crown Land, Crown Land Registry, Crown Tenure, tantalis",,,False,Open Government Licence - British Columbia,2026-03-22T12:46:39.541374,1,0.63
water-survey-of-canada-sub-sub-drainage-areas,Water Survey of Canada Sub-Sub-Drainage Areas,"Atlas of Canada 1,000,000 National Frameworks Data, Hydrology - Drainage Areas (WSC sub-sub drainage areas) from the Natural Resources Canada GeoGratis website. The dataset has been clipped to drainage areas within or adjacent to B.C. ",Environmental Monitoring and Analysis Branch,"KML, WMS, MULTIPLE","WSC, basins, drainage areas, drainages, hydrology, water survey of canada, watersheds",,,False,Open Government Licence - Canada,2023-06-29T14:15:40.269908,1,0.625
fossil-sites,Fossil Sites,"Fossil sites in British Columbia consist of polygons based on known fossil collection events in a geographic area. Each area has a descriptive name and the polygon boundaries are updated as new information becomes available. The spatial view contains information about the location, sub-sites, and significance ranking code for the fossil resource potential.

Publicly downloadable data can be found [here](https://catalogue.data.gov.bc.ca/dataset/important-fossil-areas).",Heritage Branch,MULTIPLE,"fossil, fossil resource, fossil site, geology, paleontology, stratigraphy",,,False,Access Only,2026-03-21T12:43:44.841730,1,0.625
wetland-and-riparian-potential-lower-fraser-valley,Wetland and Riparian Potential – Lower Fraser Valley,"The **Wetland and Riparian Potential – Lower Fraser Valley** dataset is a region wide assessment of wetland and riparian potential across British Columbia’s Lower Mainland summarized within a multi-scale [H3 hexagonal grid framework](https://h3geo.org). The mapping can be used to reveal areas most conducive to wetland formation and is classified into four simplified categories: *Water*, *Wetland*, *Upland/Anthropogenic*, and *Potential Wetland*.

The dataset area encompasses the Lower Mainland r",Knowledge Management,"FGDB, PDF, OTHER","Ecosystem Management, Ecosystem Mapping, Fraser Valley, Lower Mainland, Riparian, Wetland",,,False,Access Only,2026-03-13T22:42:48.899725,1,0.625
species-distribution-modeling-and-wildlife-habitat-ratings-project-boundaries,Species Distribution Modeling and Wildlife Habitat Ratings Project Boundaries,"Species Distribution Modeling (SDM) and Wildlife Habitat Ratings (WHR) project boundaries contains (study areas) and attributes describing each project (project level metadata), plus links to the locations of other data associated with the project (e.g. reports, WHR polygon datasets, plotfiles). SDM predicts the suitability of different environments for occupation by particular species, and the likelihood that those suitable habitats are occupied. WHR are also known as wildlife habitat interpret",Knowledge Management,"XLSX, MULTIPLE","BGC, Canada, DTEIF, Drainage, PEM, SEI, STE, STEWI, TEIS, TEM, TER, TSM, WHR, biogeoclimatic, bioterrain, bioterrain mapping, describing terrestrial ecosystems, ecology, ecosystem, ecosystem mapping, ecosystem modelling, landslide, predictive ecosystem mapping, sedimentation, sensitive ecosystem, sensitive ecosystems inventory, slope stability, soil, species distribution modeling, terrain, terrain and ecosystems, terrain mapping, terrain stability, terrain stability mapping, terrestrial ecosystem mapping, wildlife habitat rating, wildlife inventory, wildlife modeling",,,False,Open Government Licence - British Columbia,2024-10-07T18:35:49.382592,1,0.625
geology-faults,Geology Faults,"Geology faults are part of the British Columbia Digital Geology, which is the data source used for the seamless province-wide, up-to-date, and detailed bedrock geology. The bedrock geology integrates all details of compilations from 1:50,000 to 1:250,000. The data is maintained by a geospatial frame data model with techniques used to simplify the integration process and shorten the time frame from field mapping, compilation, integration, to data delivery. Geology faults with the related data set",BC Geological Survey,"KML, SHP, WMS, MULTIPLE","bedrock geology, digital geology, fault, geology faults",,https://catalogue.data.gov.bc.ca/dataset/c94e0c13-5385-49c1-9922-822e10135fc6/resource/7bd13434-31dd-405f-9e21-c7b2f2e01fc3/download/geologyfaults2018.zip,False,Open Government Licence - British Columbia,2023-08-29T22:24:12.029227,1,0.62
soil-mapping-data-packages,Soil Mapping Data Packages,"These Soil Mapping Data Packages include 

1. a Soil Map dataset which includes the equivalents to [Soil Project Boundaries](https://catalogue.data.gov.bc.ca/dataset/soil-mapping-soil-project-boundaries), [Soil Survey Spatial View](https://catalogue.data.gov.bc.ca/dataset/soil-survey-spatial-view) mapping polygons with attributes from the [Soil Name and Layer Files](https://catalogue.data.gov.bc.ca/dataset/soil-name-and-layer-files), plus 
+ A Soil Site dataset which includes soil pit site in",Knowledge Management,"FGDB, KMZ, SHP","BCSIS, Soil pit descriptions, soil, soil capability, soil horizon, soil mapping, soil name, soil pits, soil sites",,http://www.env.gov.bc.ca/esd/distdata/ecosystems/Soil_Data/Soil_Data_Pkgs/,False,Open Government Licence - British Columbia,2026-03-05T20:11:14.737161,1,0.615
aggregate-resource-potential-maps,Aggregate Resource Potential Maps,"An aggregate potential map typically outlines areas of aggregate resource potential as polygons on the map and qualitatively ranks the relative potential of the areas. Rankings assigned are Historic (which represent recent and present producing areas), Primary, Secondary, Tertiary (potential hosts to future aggregate deposits) and Unclassified. The parameters used in the derivation of the rankings, including landform type, quantity of sand versus gravel, volume estimate, thickness of deposit, et",BC Geological Survey,SHP,"aggregate, aggregate resource potential maps, maps, polygons, potential, rank, resource potential",,https://www2.gov.bc.ca/gov/content?id=3403337D5B82490F8F037FEC9FAFD96D,False,Access Only,2022-09-08T21:09:31.946220,1,0.615
regional-geochemical-minematch-anomaly-clusters,Regional Geochemical MineMatch Anomaly Clusters,"Anomaly cluster outlines produced for the British Columbia 'Rocks To Riches' program (2003/2004), Ministry of Energy, Mines and Petroleum Resources. See papers by C.P. Smyth in Geological Fieldwork 2004 and 2005.",BC Geological Survey,OTHER,"MineMatch, RGS, anomaly, clusters, exploration, geochemistry, rocks to riches",,,False,Access Only,2021-09-28T23:47:04.718992,1,0.615
soils-information-finder-tool-sift-map-application,Soils Information Finder Tool (SIFT) Map Application,"The BC Soil Information Finder tool or SIFT is an interactive mapping application that provides easy access to soil survey maps, soil attributes, and agriculture capability mapping in British Columbia. The data comes from the [Soil Survey Spatial View](https://catalogue.data.gov.bc.ca/dataset/20150a67-5a2d-425f-8216-ff0f97f68df9), the [Soil Project Boundaries](https://catalogue.data.gov.bc.ca/dataset/427a0008-bcf8-48eb-b9e8-ef43f390c9ad), the [Soil Name and Layer Files](https://catalogue.data.go",Knowledge Management,OTHER,"AGO, AGOL, ArcGIS Online, BC Soils, SIFT, Soil Survey, TEI, agricultural capability, arcGIS online, interactive map, inventory, soil, soil classification, soils, survey",,,False,Access Only,2026-03-04T19:56:38.987354,1,0.61
terrestrial-ecosystem-mapping-tem-detailed-polygons-with-short-attribute-table-50k-spatial-view,Terrestrial Ecosystem Mapping (TEM) Detailed Polygons with Short Attribute Table - 50k Spatial View,"STE_TEM_50K_POLYS_SVW contains Terrestrial Ecosystem Mapping (TEM) polygons with key and amalgamated (concatenated) attributes derived from the RISC (Resource Inventory Standards Committee) standard attributes completed at a scale of 1 to 50,000 or smaller (i.e. 1 to 100,000). TEM divides the landscape into units according to a variety of ecological features including climate, physiography, surficial material, bedrock geology, soils and vegetation. TEM methods include manual air photo interpreta",Knowledge Management,"FGDB, XLSX, OTHER","BGC, Canada, DTEIF, Drainage, PEM, SEI, STE, STEWI, TEIS, TEM, TER, TSM, WHR, biogeoclimatic, bioterrain, bioterrain mapping, describing terrestrial ecosystems, ecology, ecosystem, ecosystem mapping, ecosystem modelling, erosion, landslide, predictive ecosystem mapping, sedimentation, sensitive ecosystem, sensitive ecosystems inventory, slope stability, soil, terrain, terrain and ecosystems, terrain mapping, terrain stability, terrain stability mapping, terrestrial ecosystem mapping, wildlife habitat rating, wildlife inventory",,,False,Open Government Licence - British Columbia,2024-10-07T18:39:10.349478,1,0.61
canada-b-c-water-quality-monitoring-program-map-data,Canada-B.C. Water Quality Monitoring Program Map Data,"Spatial data layers distributed via the  [Canada-B.C. Water Quality Monitoring Program Interactive Map.]
[Canada-B.C. Water Quality Monitoring Program Interactive Map.]: https://catalogue.data.gov.bc.ca/dataset/cb0a8b28-4d1f-42a9-920f-8b6e6a3e8cb5

The dataset contains ArcGIS Online feature layers, web maps, and web mapping applications of the Canada-B.C. Water Quality Monitoring Program Interactive Map. Overall, the map presents water quality monitoring station metadata including station inf",Environmental Monitoring and Analysis Branch,ARCGIS_REST,"AGO, AGOL, Aquatic Ecosystems, Aquatic Life Quality, ArcGIS Online, Biomonitoring, British Columbia, Canada, Environmental Monitoring, Environmental Reporting, Lakes, Rivers, Trends Analysis, Water Quality, Water Quality Monitoring, freshwater, long-term water quality, water resource management",,,False,Access Only,2024-03-27T22:31:29.909172,1,0.61
bec-map-attribute-catalogue,BEC Map - Attribute Catalogue,"A list of the various 'regional' (zone/subzone/variant/phase) ecological units of the current biogeoclimatic ecosystem classification.  At this 'regional' level, vegetation, soils and topography are used to infer the climate and to identify geographic areas that have relatively uniform climate. These geographic areas are termed biogeoclimatic units. The basic biogeoclimatic unit is the Subzone. These units are grouped into Zones and may be further subdivided into variants based on further refine",Forest Analysis and Inventory Branch,MULTIPLE,"BEC, BGC, BGCDB, Canada, biogeoclimatic ecosystem classification, climate, ecological land classification, vegetation",,,False,Open Government Licence - British Columbia,2026-01-28T13:52:26.723671,1,0.61
broad-ecosystem-inventory-wildlife-habitat-ratings-interpretations-for-birds,Broad Ecosystem Inventory Wildlife Habitat Ratings Interpretations for Birds,"The Broad Ecosystem Inventory (BEI) Classification provides broad regional information about the distribution of ecosystems throughout the province and the value of these ecosystems to wildlife. This is done in order to facilitate the use of wildlife information in broad provincial and regional land and resource planning initiatives. Broad Ecosystem Units are mapped based on imagery of the provincial land base generally captured at a scale of 1:250,000. BEI mapping represents forest conditions f",Ecosystems,"ORACLE_SDE, PDF","BEI, Barrows Goldeneye, Bobolink, Brewers Sparrow, Broad Ecosystem Inventory, Cassins Finch, Columbian Sharp-tailed Grouse, Common Poorwill, Ecosystem Classification, Ecosystem Mapping, Flammulated Owl, Grasshopper Sparrow, Gray Flycatcher, Lark Sparrow, Lewiss Woodpecker, Long-billed Curlew, Long-eared Owl, Mountain Bluebird, Nashville Warbler, Prairie Sharp-tailed Grouse, Pygmy Nuthatch, Rough-legged Hawk, Sage Thrasher, Sharp-Tailed Grouse, Short-eared Owl, Swainsons Hawk, Timberline Sparrow, WHR, Western Bluebird, Western Meadowlark, Western Screech-Owl, Wildlife Habitat Ratings, Williamsons Sapsucker, birds, dry forests, grasslands, habitat capability, habitat modelling, habitat suitability",,,False,Open Government Licence - British Columbia,2024-02-05T18:33:05.842902,1,0.61
7-5m-drainage-polygons-the-atlas-of-canada-base-maps-for-bc,(7.5M) Drainage Polygons  - The Atlas of Canada Base Maps for BC,Features representing rivers and lakes.,GeoBC Branch,"KML, WMS, MULTIPLE","Alberta, Canada, DRAINAGE, ENGLISH, FRENCH, HYDROLOGY, LAND USE, Manitoba, New Brunswick, Newfoundland And Labrador, North America, Northern Hemisphere, Northwest Territories, Nova Scotia, Nunavut, Ontario, Prince Edward Island, Quebec, RIVER, Saskatchewan, TRANSPORTATION, hydrography, national parks, planimetry",,,False,Open Government Licence - Canada,2023-06-29T14:16:34.581180,1,0.61
terrestrial-ecosystem-information-tei-detailed-polygons-with-short-table-attribute-table,Terrestrial Ecosystem Information (TEI) Detailed Polygons with Short Table Attribute Table,"STE_TEI_ATTRIBUTE_POLYS_SP contains Terrestrial Ecosystem Information (TEI) polygons with key and amalgamated (concatenated) attributes derived from the RISC (Resource Inventory Standards Committee) standard attributes. These describe the physical and biological characteristics of ecosystems at a landscape level. TEI currently includes Terrestrial Ecosystem Mapping (TEM), Predictive Ecosystem Mapping (PEM), Sensitive Ecosystems Inventory (SEI), Terrain Mapping (TER) and Soil Mapping (SOIL). Mapp",Knowledge Management,"XLSX, FGDB, MULTIPLE","BGC, Canada, DTEIF, Drainage, PEM, SEI, STE, STEWI, TEIS, TEM, TER, TSM, WHR, biogeoclimatic, bioterrain, bioterrain mapping, describing terrestrial ecosystems, ecology, ecosystem, ecosystem mapping, ecosystem modelling, erosion, landslide, predictive ecosystem mapping, sedimentation, sensitive ecosystem, sensitive ecosystem inventory, slope stability, soil, terrain, terrain and ecosystems, terrain mapping, terrain stability, terrain stability mapping, terrestrial ecosystem mapping, wildlife habitat rating, wildlife inventory",,,False,Open Government Licence - British Columbia,2024-10-07T18:36:48.819383,1,0.61
